group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
tokio-RwLock,,lock-02,,,1135462.0,ns,17682
tokio-RwLock,,lock-02,,,1779478.0,ns,35364
tokio-RwLock,,lock-02,,,2890830.0,ns,53046
tokio-RwLock,,lock-02,,,3487284.0,ns,70728
tokio-RwLock,,lock-02,,,4418755.0,ns,88410
tokio-RwLock,,lock-02,,,5770488.0,ns,106092
tokio-RwLock,,lock-02,,,6415106.0,ns,123774
tokio-RwLock,,lock-02,,,9263544.0,ns,141456
tokio-RwLock,,lock-02,,,8721137.0,ns,159138
tokio-RwLock,,lock-02,,,9145583.0,ns,176820
tokio-RwLock,,lock-02,,,10199214.0,ns,194502
tokio-RwLock,,lock-02,,,10965870.0,ns,212184
tokio-RwLock,,lock-02,,,11659908.0,ns,229866
tokio-RwLock,,lock-02,,,12995213.0,ns,247548
tokio-RwLock,,lock-02,,,13708028.0,ns,265230
tokio-RwLock,,lock-02,,,14615748.0,ns,282912
tokio-RwLock,,lock-02,,,15469546.0,ns,300594
tokio-RwLock,,lock-02,,,15083243.0,ns,318276
tokio-RwLock,,lock-02,,,17002491.0,ns,335958
tokio-RwLock,,lock-02,,,18698389.0,ns,353640
tokio-RwLock,,lock-02,,,21665810.0,ns,371322
tokio-RwLock,,lock-02,,,19830280.0,ns,389004
tokio-RwLock,,lock-02,,,19918621.0,ns,406686
tokio-RwLock,,lock-02,,,22217416.0,ns,424368
tokio-RwLock,,lock-02,,,21653409.0,ns,442050
tokio-RwLock,,lock-02,,,24148344.0,ns,459732
tokio-RwLock,,lock-02,,,25886442.0,ns,477414
tokio-RwLock,,lock-02,,,25497047.0,ns,495096
tokio-RwLock,,lock-02,,,26915134.0,ns,512778
tokio-RwLock,,lock-02,,,26659470.0,ns,530460
tokio-RwLock,,lock-02,,,27786171.0,ns,548142
tokio-RwLock,,lock-02,,,28251986.0,ns,565824
tokio-RwLock,,lock-02,,,31233216.0,ns,583506
tokio-RwLock,,lock-02,,,30644900.0,ns,601188
tokio-RwLock,,lock-02,,,31519279.0,ns,618870
tokio-RwLock,,lock-02,,,32675991.0,ns,636552
tokio-RwLock,,lock-02,,,35205735.0,ns,654234
tokio-RwLock,,lock-02,,,34881253.0,ns,671916
tokio-RwLock,,lock-02,,,38408959.0,ns,689598
tokio-RwLock,,lock-02,,,47439599.0,ns,707280
tokio-RwLock,,lock-02,,,45202529.0,ns,724962
tokio-RwLock,,lock-02,,,43275687.0,ns,742644
tokio-RwLock,,lock-02,,,43215238.0,ns,760326
tokio-RwLock,,lock-02,,,45465700.0,ns,778008
tokio-RwLock,,lock-02,,,41815962.0,ns,795690
tokio-RwLock,,lock-02,,,40655202.0,ns,813372
tokio-RwLock,,lock-02,,,43163215.0,ns,831054
tokio-RwLock,,lock-02,,,55322820.0,ns,848736
tokio-RwLock,,lock-02,,,52512671.0,ns,866418
tokio-RwLock,,lock-02,,,43414948.0,ns,884100
tokio-RwLock,,lock-02,,,52825706.0,ns,901782
tokio-RwLock,,lock-02,,,53294539.0,ns,919464
tokio-RwLock,,lock-02,,,56588872.0,ns,937146
tokio-RwLock,,lock-02,,,55036187.0,ns,954828
tokio-RwLock,,lock-02,,,58494511.0,ns,972510
tokio-RwLock,,lock-02,,,57234528.0,ns,990192
tokio-RwLock,,lock-02,,,53055337.0,ns,1007874
tokio-RwLock,,lock-02,,,51665932.0,ns,1025556
tokio-RwLock,,lock-02,,,60874586.0,ns,1043238
tokio-RwLock,,lock-02,,,64364521.0,ns,1060920
tokio-RwLock,,lock-02,,,61372261.0,ns,1078602
tokio-RwLock,,lock-02,,,61230130.0,ns,1096284
tokio-RwLock,,lock-02,,,59979117.0,ns,1113966
tokio-RwLock,,lock-02,,,62128298.0,ns,1131648
tokio-RwLock,,lock-02,,,63701454.0,ns,1149330
tokio-RwLock,,lock-02,,,66016258.0,ns,1167012
tokio-RwLock,,lock-02,,,64895447.0,ns,1184694
tokio-RwLock,,lock-02,,,74811458.0,ns,1202376
tokio-RwLock,,lock-02,,,66322489.0,ns,1220058
tokio-RwLock,,lock-02,,,74875228.0,ns,1237740
tokio-RwLock,,lock-02,,,67105649.0,ns,1255422
tokio-RwLock,,lock-02,,,68540713.0,ns,1273104
tokio-RwLock,,lock-02,,,82500075.0,ns,1290786
tokio-RwLock,,lock-02,,,95138412.0,ns,1308468
tokio-RwLock,,lock-02,,,94612626.0,ns,1326150
tokio-RwLock,,lock-02,,,98610718.0,ns,1343832
tokio-RwLock,,lock-02,,,95589907.0,ns,1361514
tokio-RwLock,,lock-02,,,76130600.0,ns,1379196
tokio-RwLock,,lock-02,,,76695197.0,ns,1396878
tokio-RwLock,,lock-02,,,83296032.0,ns,1414560
tokio-RwLock,,lock-02,,,84770627.0,ns,1432242
tokio-RwLock,,lock-02,,,88002440.0,ns,1449924
tokio-RwLock,,lock-02,,,85391385.0,ns,1467606
tokio-RwLock,,lock-02,,,87100441.0,ns,1485288
tokio-RwLock,,lock-02,,,83867838.0,ns,1502970
tokio-RwLock,,lock-02,,,94896770.0,ns,1520652
tokio-RwLock,,lock-02,,,79894418.0,ns,1538334
tokio-RwLock,,lock-02,,,87499535.0,ns,1556016
tokio-RwLock,,lock-02,,,80564256.0,ns,1573698
tokio-RwLock,,lock-02,,,97482505.0,ns,1591380
tokio-RwLock,,lock-02,,,90853679.0,ns,1609062
tokio-RwLock,,lock-02,,,87415515.0,ns,1626744
tokio-RwLock,,lock-02,,,88934890.0,ns,1644426
tokio-RwLock,,lock-02,,,96306933.0,ns,1662108
tokio-RwLock,,lock-02,,,113239977.0,ns,1679790
tokio-RwLock,,lock-02,,,89362364.0,ns,1697472
tokio-RwLock,,lock-02,,,107578738.0,ns,1715154
tokio-RwLock,,lock-02,,,87482905.0,ns,1732836
tokio-RwLock,,lock-02,,,94811579.0,ns,1750518
tokio-RwLock,,lock-02,,,95736509.0,ns,1768200
