group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
tokio-Mutex,,try_lock-10,,,1292733.0,ns,1689
tokio-Mutex,,try_lock-10,,,5228083.0,ns,3378
tokio-Mutex,,try_lock-10,,,513936.0,ns,5067
tokio-Mutex,,try_lock-10,,,2131441.0,ns,6756
tokio-Mutex,,try_lock-10,,,5438815.0,ns,8445
tokio-Mutex,,try_lock-10,,,3334413.0,ns,10134
tokio-Mutex,,try_lock-10,,,5868860.0,ns,11823
tokio-Mutex,,try_lock-10,,,5584937.0,ns,13512
tokio-Mutex,,try_lock-10,,,2083891.0,ns,15201
tokio-Mutex,,try_lock-10,,,1890119.0,ns,16890
tokio-Mutex,,try_lock-10,,,19159853.0,ns,18579
tokio-Mutex,,try_lock-10,,,25871042.0,ns,20268
tokio-Mutex,,try_lock-10,,,2840669.0,ns,21957
tokio-Mutex,,try_lock-10,,,1595876.0,ns,23646
tokio-Mutex,,try_lock-10,,,2264613.0,ns,25335
tokio-Mutex,,try_lock-10,,,1281353.0,ns,27024
tokio-Mutex,,try_lock-10,,,1438985.0,ns,28713
tokio-Mutex,,try_lock-10,,,1633346.0,ns,30402
tokio-Mutex,,try_lock-10,,,1645856.0,ns,32091
tokio-Mutex,,try_lock-10,,,1707387.0,ns,33780
tokio-Mutex,,try_lock-10,,,3740987.0,ns,35469
tokio-Mutex,,try_lock-10,,,15419937.0,ns,37158
tokio-Mutex,,try_lock-10,,,2612417.0,ns,38847
tokio-Mutex,,try_lock-10,,,2271153.0,ns,40536
tokio-Mutex,,try_lock-10,,,32083693.0,ns,42225
tokio-Mutex,,try_lock-10,,,20780951.0,ns,43914
tokio-Mutex,,try_lock-10,,,2015179.0,ns,45603
tokio-Mutex,,try_lock-10,,,3364994.0,ns,47292
tokio-Mutex,,try_lock-10,,,3583087.0,ns,48981
tokio-Mutex,,try_lock-10,,,2417265.0,ns,50670
tokio-Mutex,,try_lock-10,,,3032260.0,ns,52359
tokio-Mutex,,try_lock-10,,,16129623.0,ns,54048
tokio-Mutex,,try_lock-10,,,59078818.0,ns,55737
tokio-Mutex,,try_lock-10,,,4227503.0,ns,57426
tokio-Mutex,,try_lock-10,,,2879409.0,ns,59115
tokio-Mutex,,try_lock-10,,,4890000.0,ns,60804
tokio-Mutex,,try_lock-10,,,25976112.0,ns,62493
tokio-Mutex,,try_lock-10,,,14042782.0,ns,64182
tokio-Mutex,,try_lock-10,,,4726418.0,ns,65871
tokio-Mutex,,try_lock-10,,,4472615.0,ns,67560
tokio-Mutex,,try_lock-10,,,3939210.0,ns,69249
tokio-Mutex,,try_lock-10,,,3627167.0,ns,70938
tokio-Mutex,,try_lock-10,,,3285442.0,ns,72627
tokio-Mutex,,try_lock-10,,,28282305.0,ns,74316
tokio-Mutex,,try_lock-10,,,85163072.0,ns,76005
tokio-Mutex,,try_lock-10,,,73103929.0,ns,77694
tokio-Mutex,,try_lock-10,,,74793077.0,ns,79383
tokio-Mutex,,try_lock-10,,,33226115.0,ns,81072
tokio-Mutex,,try_lock-10,,,122786622.0,ns,82761
tokio-Mutex,,try_lock-10,,,7573427.0,ns,84450
tokio-Mutex,,try_lock-10,,,6580805.0,ns,86139
tokio-Mutex,,try_lock-10,,,4328404.0,ns,87828
